prompt,answer
What is 78 + 89? Answer:,167
What is 83 + 52? Answer:,135
What is 95 + 71? Answer:,166
What is 91 + 32? Answer:,123
What is 80 + 54? Answer:,134
What is 66 + 93? Answer:,159
What is 95 + 86? Answer:,181
What is 97 + 15? Answer:,112
What is 37 + 34? Answer:,71
What is 35 + 93? Answer:,128
What is 42 + 83? Answer:,125
What is 77 + 29? Answer:,106
What is 69 + 22? Answer:,91
What is 57 + 17? Answer:,74
What is 60 + 62? Answer:,122
What is 52 + 28? Answer:,80
What is 97 + 52? Answer:,149
What is 40 + 38? Answer:,78
What is 35 + 99? Answer:,134
What is 29 + 29? Answer:,58
What is 21 + 81? Answer:,102
What is 97 + 84? Answer:,181
What is 24 + 47? Answer:,71
What is 89 + 45? Answer:,134
What is 72 + 56? Answer:,128
What is 49 + 47? Answer:,96
What is 26 + 36? Answer:,62
What is 76 + 19? Answer:,95
What is 78 + 21? Answer:,99
What is 23 + 84? Answer:,107
What is 81 + 12? Answer:,93
What is 83 + 28? Answer:,111
What is 19 + 16? Answer:,35
What is 27 + 48? Answer:,75
What is 62 + 41? Answer:,103
What is 77 + 63? Answer:,140
What is 70 + 88? Answer:,158
What is 17 + 58? Answer:,75
What is 46 + 71? Answer:,117
What is 78 + 74? Answer:,152
What is 42 + 13? Answer:,55
What is 11 + 10? Answer:,21
What is 76 + 14? Answer:,90
What is 76 + 59? Answer:,135
What is 79 + 40? Answer:,119
What is 83 + 92? Answer:,175
What is 50 + 67? Answer:,117
What is 69 + 58? Answer:,127
What is 40 + 19? Answer:,59
What is 76 + 64? Answer:,140
What is 75 + 53? Answer:,128
What is 83 + 37? Answer:,120
What is 27 + 72? Answer:,99
What is 47 + 18? Answer:,65
What is 95 + 92? Answer:,187
What is 21 + 29? Answer:,50
What is 32 + 13? Answer:,45
What is 66 + 86? Answer:,152
What is 30 + 48? Answer:,78
What is 64 + 92? Answer:,156
What is 16 + 81? Answer:,97
What is 83 + 89? Answer:,172
What is 16 + 58? Answer:,74
What is 68 + 20? Answer:,88
What is 22 + 28? Answer:,50
What is 11 + 88? Answer:,99
What is 28 + 98? Answer:,126
What is 91 + 94? Answer:,185
What is 23 + 68? Answer:,91
What is 91 + 94? Answer:,185
What is 38 + 87? Answer:,125
What is 78 + 98? Answer:,176
What is 57 + 71? Answer:,128
What is 79 + 37? Answer:,116
What is 23 + 57? Answer:,80
What is 15 + 58? Answer:,73
What is 94 + 28? Answer:,122
What is 95 + 50? Answer:,145
What is 40 + 11? Answer:,51
What is 21 + 25? Answer:,46
What is 67 + 48? Answer:,115
What is 17 + 33? Answer:,50
What is 10 + 68? Answer:,78
What is 21 + 32? Answer:,53
What is 96 + 15? Answer:,111
What is 77 + 36? Answer:,113
What is 91 + 20? Answer:,111
What is 64 + 90? Answer:,154
What is 35 + 39? Answer:,74
What is 63 + 22? Answer:,85
What is 90 + 55? Answer:,145
What is 32 + 40? Answer:,72
What is 58 + 99? Answer:,157
What is 65 + 99? Answer:,164
What is 61 + 41? Answer:,102
What is 50 + 46? Answer:,96
What is 15 + 53? Answer:,68
What is 42 + 75? Answer:,117
What is 72 + 18? Answer:,90
What is 52 + 19? Answer:,71
What is 56 + 27? Answer:,83
What is 23 + 43? Answer:,66
What is 15 + 98? Answer:,113
What is 17 + 43? Answer:,60
What is 62 + 54? Answer:,116
What is 25 + 51? Answer:,76
What is 78 + 27? Answer:,105
What is 59 + 56? Answer:,115
What is 75 + 70? Answer:,145
What is 61 + 81? Answer:,142
What is 16 + 78? Answer:,94
What is 27 + 58? Answer:,85
What is 43 + 17? Answer:,60
What is 12 + 14? Answer:,26
What is 44 + 31? Answer:,75
What is 30 + 10? Answer:,40
What is 29 + 90? Answer:,119
What is 45 + 33? Answer:,78
What is 89 + 83? Answer:,172
What is 36 + 41? Answer:,77
What is 12 + 26? Answer:,38
What is 49 + 70? Answer:,119
What is 99 + 66? Answer:,165
What is 87 + 90? Answer:,177
What is 26 + 19? Answer:,45
What is 76 + 17? Answer:,93
What is 64 + 10? Answer:,74
What is 97 + 70? Answer:,167
What is 66 + 89? Answer:,155
What is 78 + 73? Answer:,151
What is 23 + 58? Answer:,81
What is 70 + 85? Answer:,155
What is 20 + 12? Answer:,32
What is 70 + 62? Answer:,132
What is 86 + 20? Answer:,106
What is 45 + 62? Answer:,107
What is 91 + 31? Answer:,122
What is 77 + 87? Answer:,164
What is 75 + 55? Answer:,130
What is 87 + 63? Answer:,150
What is 87 + 41? Answer:,128
What is 29 + 21? Answer:,50
What is 64 + 32? Answer:,96
What is 41 + 65? Answer:,106
What is 39 + 50? Answer:,89
What is 76 + 60? Answer:,136
What is 71 + 67? Answer:,138
What is 18 + 37? Answer:,55
What is 40 + 70? Answer:,110
What is 79 + 24? Answer:,103
What is 57 + 98? Answer:,155
What is 53 + 75? Answer:,128
What is 82 + 39? Answer:,121
What is 91 + 72? Answer:,163
What is 46 + 76? Answer:,122
What is 42 + 50? Answer:,92
What is 68 + 18? Answer:,86
What is 17 + 69? Answer:,86
What is 16 + 77? Answer:,93
What is 35 + 29? Answer:,64
What is 92 + 43? Answer:,135
What is 52 + 24? Answer:,76
What is 12 + 90? Answer:,102
What is 53 + 46? Answer:,99
What is 97 + 62? Answer:,159
What is 56 + 82? Answer:,138
What is 17 + 31? Answer:,48
What is 98 + 62? Answer:,160
What is 75 + 77? Answer:,152
What is 13 + 74? Answer:,87
What is 45 + 17? Answer:,62
What is 39 + 34? Answer:,73
What is 55 + 15? Answer:,70
What is 92 + 88? Answer:,180
What is 87 + 95? Answer:,182
What is 19 + 62? Answer:,81
What is 21 + 37? Answer:,58
What is 97 + 45? Answer:,142
What is 25 + 51? Answer:,76
What is 24 + 38? Answer:,62
What is 66 + 63? Answer:,129
What is 83 + 49? Answer:,132
What is 46 + 95? Answer:,141
What is 20 + 30? Answer:,50
What is 58 + 56? Answer:,114
What is 80 + 44? Answer:,124
What is 10 + 33? Answer:,43
What is 49 + 17? Answer:,66
What is 53 + 99? Answer:,152
What is 69 + 71? Answer:,140
What is 90 + 25? Answer:,115
What is 98 + 21? Answer:,119
What is 30 + 75? Answer:,105
What is 12 + 16? Answer:,28
What is 71 + 42? Answer:,113
What is 33 + 95? Answer:,128
What is 83 + 43? Answer:,126
What is 52 + 80? Answer:,132
What is 46 + 52? Answer:,98
What is 98 + 74? Answer:,172
What is 89 + 90? Answer:,179
What is 45 + 11? Answer:,56
What is 77 + 32? Answer:,109
What is 20 + 42? Answer:,62
What is 97 + 36? Answer:,133
What is 76 + 52? Answer:,128
What is 60 + 20? Answer:,80
What is 21 + 74? Answer:,95
What is 18 + 16? Answer:,34
What is 11 + 95? Answer:,106
What is 51 + 76? Answer:,127
What is 25 + 27? Answer:,52
What is 36 + 30? Answer:,66
What is 70 + 27? Answer:,97
What is 23 + 15? Answer:,38
What is 89 + 86? Answer:,175
What is 79 + 75? Answer:,154
What is 91 + 53? Answer:,144
What is 77 + 83? Answer:,160
What is 32 + 32? Answer:,64
What is 61 + 65? Answer:,126
What is 99 + 14? Answer:,113
What is 18 + 26? Answer:,44
What is 62 + 52? Answer:,114
What is 60 + 14? Answer:,74
What is 51 + 89? Answer:,140
What is 64 + 18? Answer:,82
What is 25 + 99? Answer:,124
What is 82 + 62? Answer:,144
What is 63 + 33? Answer:,96
What is 82 + 76? Answer:,158
What is 93 + 60? Answer:,153
What is 10 + 77? Answer:,87
What is 33 + 34? Answer:,67
What is 48 + 57? Answer:,105
What is 73 + 10? Answer:,83
What is 92 + 40? Answer:,132
What is 80 + 69? Answer:,149
What is 22 + 40? Answer:,62
What is 32 + 45? Answer:,77
What is 58 + 16? Answer:,74
What is 14 + 85? Answer:,99
What is 21 + 90? Answer:,111
What is 68 + 60? Answer:,128
What is 84 + 75? Answer:,159
What is 48 + 96? Answer:,144
What is 12 + 33? Answer:,45
What is 96 + 87? Answer:,183
What is 94 + 69? Answer:,163
What is 43 + 11? Answer:,54
What is 62 + 93? Answer:,155
What is 97 + 70? Answer:,167
What is 49 + 50? Answer:,99
What is 60 + 83? Answer:,143
What is 32 + 88? Answer:,120
What is 59 + 16? Answer:,75
What is 36 + 61? Answer:,97
What is 74 + 23? Answer:,97
What is 47 + 86? Answer:,133
What is 71 + 53? Answer:,124
What is 53 + 16? Answer:,69
What is 16 + 30? Answer:,46
What is 28 + 96? Answer:,124
What is 13 + 54? Answer:,67
What is 72 + 18? Answer:,90
What is 98 + 64? Answer:,162
What is 77 + 65? Answer:,142
What is 75 + 85? Answer:,160
What is 66 + 49? Answer:,115
What is 29 + 38? Answer:,67
What is 43 + 79? Answer:,122
What is 16 + 61? Answer:,77
What is 42 + 53? Answer:,95
What is 46 + 49? Answer:,95
What is 73 + 16? Answer:,89
What is 18 + 80? Answer:,98
What is 79 + 81? Answer:,160
What is 61 + 36? Answer:,97
What is 35 + 40? Answer:,75
What is 99 + 75? Answer:,174
What is 51 + 69? Answer:,120
What is 91 + 48? Answer:,139
What is 51 + 66? Answer:,117
What is 38 + 67? Answer:,105
What is 22 + 29? Answer:,51
What is 99 + 75? Answer:,174
What is 95 + 42? Answer:,137
What is 73 + 89? Answer:,162
What is 34 + 96? Answer:,130
What is 34 + 74? Answer:,108
What is 50 + 60? Answer:,110
What is 95 + 63? Answer:,158
What is 33 + 66? Answer:,99
What is 21 + 42? Answer:,63
What is 51 + 28? Answer:,79
What is 37 + 25? Answer:,62
What is 21 + 42? Answer:,63
What is 68 + 58? Answer:,126
What is 72 + 52? Answer:,124
What is 80 + 77? Answer:,157
What is 68 + 31? Answer:,99
What is 20 + 23? Answer:,43
What is 27 + 98? Answer:,125
What is 23 + 45? Answer:,68
What is 24 + 17? Answer:,41
What is 18 + 65? Answer:,83
What is 70 + 16? Answer:,86
What is 37 + 80? Answer:,117
What is 91 + 11? Answer:,102
What is 17 + 30? Answer:,47
What is 61 + 39? Answer:,100
What is 10 + 53? Answer:,63
What is 32 + 75? Answer:,107
What is 15 + 11? Answer:,26
What is 59 + 69? Answer:,128
What is 31 + 38? Answer:,69
What is 35 + 43? Answer:,78
What is 82 + 65? Answer:,147
What is 98 + 94? Answer:,192
What is 38 + 25? Answer:,63
What is 95 + 60? Answer:,155
What is 75 + 79? Answer:,154
What is 16 + 64? Answer:,80
What is 49 + 42? Answer:,91
What is 10 + 51? Answer:,61
What is 89 + 19? Answer:,108
What is 88 + 33? Answer:,121
What is 73 + 47? Answer:,120
What is 49 + 86? Answer:,135
What is 49 + 90? Answer:,139
What is 29 + 98? Answer:,127
What is 14 + 75? Answer:,89
What is 91 + 76? Answer:,167
What is 11 + 42? Answer:,53
What is 88 + 19? Answer:,107
What is 38 + 56? Answer:,94
What is 52 + 40? Answer:,92
What is 38 + 25? Answer:,63
What is 17 + 93? Answer:,110
What is 60 + 50? Answer:,110
What is 61 + 62? Answer:,123
What is 57 + 64? Answer:,121
What is 41 + 31? Answer:,72
What is 33 + 98? Answer:,131
What is 96 + 99? Answer:,195
What is 90 + 38? Answer:,128
What is 79 + 53? Answer:,132
What is 53 + 88? Answer:,141
What is 23 + 32? Answer:,55
What is 46 + 98? Answer:,144
What is 85 + 66? Answer:,151
What is 46 + 46? Answer:,92
What is 66 + 39? Answer:,105
What is 30 + 43? Answer:,73
What is 53 + 70? Answer:,123
What is 78 + 28? Answer:,106
What is 65 + 35? Answer:,100
What is 30 + 59? Answer:,89
What is 92 + 82? Answer:,174
What is 97 + 43? Answer:,140
What is 10 + 43? Answer:,53
What is 25 + 40? Answer:,65
What is 24 + 75? Answer:,99
What is 95 + 57? Answer:,152
What is 79 + 52? Answer:,131
What is 53 + 23? Answer:,76
What is 77 + 77? Answer:,154
What is 50 + 36? Answer:,86
What is 96 + 89? Answer:,185
What is 60 + 92? Answer:,152
What is 71 + 22? Answer:,93
What is 96 + 92? Answer:,188
What is 62 + 71? Answer:,133
What is 45 + 73? Answer:,118
What is 91 + 76? Answer:,167
What is 11 + 29? Answer:,40
What is 97 + 47? Answer:,144
What is 35 + 14? Answer:,49
What is 72 + 15? Answer:,87
What is 48 + 60? Answer:,108
What is 44 + 98? Answer:,142
What is 89 + 74? Answer:,163
What is 62 + 43? Answer:,105
What is 64 + 26? Answer:,90
What is 32 + 29? Answer:,61
What is 81 + 18? Answer:,99
What is 20 + 41? Answer:,61
What is 93 + 13? Answer:,106
What is 83 + 33? Answer:,116
What is 71 + 11? Answer:,82
What is 74 + 42? Answer:,116
What is 53 + 99? Answer:,152
What is 76 + 87? Answer:,163
What is 10 + 57? Answer:,67
What is 20 + 88? Answer:,108
What is 59 + 19? Answer:,78
What is 87 + 13? Answer:,100
What is 30 + 28? Answer:,58
What is 52 + 43? Answer:,95
What is 59 + 20? Answer:,79
What is 55 + 14? Answer:,69
What is 72 + 89? Answer:,161
What is 84 + 66? Answer:,150
What is 14 + 58? Answer:,72
What is 62 + 65? Answer:,127
What is 96 + 30? Answer:,126
What is 67 + 14? Answer:,81
What is 44 + 34? Answer:,78
What is 10 + 65? Answer:,75
What is 67 + 50? Answer:,117
What is 22 + 80? Answer:,102
What is 78 + 43? Answer:,121
What is 88 + 66? Answer:,154
What is 31 + 65? Answer:,96
What is 68 + 53? Answer:,121
What is 20 + 53? Answer:,73
What is 79 + 14? Answer:,93
What is 25 + 67? Answer:,92
What is 89 + 40? Answer:,129
What is 65 + 88? Answer:,153
What is 91 + 78? Answer:,169
What is 27 + 69? Answer:,96
What is 67 + 51? Answer:,118
What is 17 + 59? Answer:,76
What is 12 + 42? Answer:,54
What is 10 + 51? Answer:,61
What is 55 + 56? Answer:,111
What is 97 + 52? Answer:,149
What is 23 + 82? Answer:,105
What is 39 + 75? Answer:,114
What is 29 + 92? Answer:,121
What is 30 + 75? Answer:,105
What is 37 + 70? Answer:,107
What is 32 + 36? Answer:,68
What is 27 + 28? Answer:,55
What is 84 + 61? Answer:,145
What is 63 + 27? Answer:,90
What is 23 + 32? Answer:,55
What is 95 + 71? Answer:,166
What is 68 + 78? Answer:,146
What is 95 + 83? Answer:,178
What is 21 + 24? Answer:,45
What is 22 + 18? Answer:,40
What is 83 + 77? Answer:,160
What is 57 + 31? Answer:,88
What is 85 + 66? Answer:,151
What is 61 + 44? Answer:,105
What is 81 + 43? Answer:,124
What is 69 + 52? Answer:,121
What is 80 + 61? Answer:,141
What is 87 + 94? Answer:,181
What is 90 + 26? Answer:,116
What is 14 + 44? Answer:,58
What is 85 + 57? Answer:,142
What is 51 + 37? Answer:,88
What is 60 + 26? Answer:,86
What is 64 + 39? Answer:,103
What is 84 + 83? Answer:,167
What is 68 + 15? Answer:,83
What is 47 + 72? Answer:,119
What is 12 + 13? Answer:,25
What is 11 + 16? Answer:,27
What is 72 + 15? Answer:,87
What is 57 + 68? Answer:,125
What is 88 + 34? Answer:,122
What is 93 + 75? Answer:,168
What is 23 + 92? Answer:,115
What is 99 + 47? Answer:,146
What is 17 + 11? Answer:,28
What is 17 + 76? Answer:,93
What is 42 + 82? Answer:,124
What is 36 + 84? Answer:,120
What is 19 + 63? Answer:,82
What is 37 + 41? Answer:,78
What is 41 + 29? Answer:,70
What is 76 + 27? Answer:,103
What is 84 + 94? Answer:,178
What is 19 + 94? Answer:,113
What is 46 + 58? Answer:,104
What is 92 + 63? Answer:,155
What is 40 + 19? Answer:,59
What is 85 + 92? Answer:,177
What is 41 + 46? Answer:,87
What is 35 + 22? Answer:,57
What is 80 + 76? Answer:,156
What is 19 + 54? Answer:,73
What is 32 + 87? Answer:,119
What is 44 + 66? Answer:,110
What is 16 + 60? Answer:,76
What is 64 + 39? Answer:,103
What is 86 + 87? Answer:,173
What is 10 + 24? Answer:,34
What is 96 + 27? Answer:,123
What is 92 + 18? Answer:,110
What is 36 + 54? Answer:,90
What is 85 + 65? Answer:,150
What is 64 + 22? Answer:,86
What is 73 + 24? Answer:,97
What is 37 + 63? Answer:,100
What is 46 + 45? Answer:,91
What is 86 + 61? Answer:,147
What is 54 + 28? Answer:,82
What is 47 + 38? Answer:,85
What is 54 + 14? Answer:,68
What is 14 + 20? Answer:,34
What is 89 + 66? Answer:,155
What is 16 + 77? Answer:,93
What is 83 + 61? Answer:,144
What is 23 + 67? Answer:,90
What is 34 + 39? Answer:,73
What is 74 + 29? Answer:,103
What is 65 + 69? Answer:,134
What is 67 + 28? Answer:,95
What is 43 + 47? Answer:,90
What is 44 + 95? Answer:,139
What is 55 + 59? Answer:,114
What is 60 + 78? Answer:,138
What is 17 + 27? Answer:,44
What is 24 + 46? Answer:,70
What is 21 + 72? Answer:,93
What is 83 + 86? Answer:,169
What is 62 + 62? Answer:,124
What is 76 + 51? Answer:,127
What is 46 + 95? Answer:,141
What is 33 + 61? Answer:,94
What is 35 + 35? Answer:,70
What is 30 + 76? Answer:,106
What is 10 + 19? Answer:,29
What is 60 + 40? Answer:,100
What is 65 + 17? Answer:,82
What is 14 + 14? Answer:,28
What is 59 + 82? Answer:,141
What is 93 + 52? Answer:,145
What is 27 + 37? Answer:,64
What is 96 + 12? Answer:,108
What is 94 + 44? Answer:,138
What is 89 + 30? Answer:,119
What is 47 + 32? Answer:,79
What is 99 + 71? Answer:,170
What is 18 + 17? Answer:,35
What is 68 + 12? Answer:,80
What is 79 + 53? Answer:,132
What is 10 + 38? Answer:,48
What is 62 + 32? Answer:,94
What is 11 + 78? Answer:,89
What is 75 + 18? Answer:,93
What is 41 + 35? Answer:,76
What is 29 + 58? Answer:,87
What is 12 + 78? Answer:,90
What is 64 + 17? Answer:,81
What is 26 + 22? Answer:,48
What is 50 + 28? Answer:,78
What is 91 + 40? Answer:,131
What is 97 + 29? Answer:,126
What is 23 + 13? Answer:,36
What is 55 + 10? Answer:,65
What is 84 + 90? Answer:,174
What is 15 + 48? Answer:,63
What is 67 + 59? Answer:,126
What is 83 + 58? Answer:,141
What is 46 + 40? Answer:,86
What is 56 + 25? Answer:,81
What is 98 + 70? Answer:,168
What is 49 + 54? Answer:,103
What is 57 + 70? Answer:,127
What is 49 + 75? Answer:,124
What is 14 + 57? Answer:,71
What is 55 + 12? Answer:,67
What is 53 + 55? Answer:,108
What is 59 + 21? Answer:,80
What is 87 + 44? Answer:,131
What is 30 + 29? Answer:,59
What is 45 + 85? Answer:,130
What is 46 + 67? Answer:,113
What is 25 + 84? Answer:,109
What is 17 + 71? Answer:,88
What is 71 + 29? Answer:,100
What is 88 + 93? Answer:,181
What is 20 + 46? Answer:,66
What is 75 + 97? Answer:,172
What is 32 + 98? Answer:,130
What is 71 + 63? Answer:,134
What is 18 + 27? Answer:,45
What is 37 + 14? Answer:,51
What is 72 + 93? Answer:,165
What is 40 + 86? Answer:,126
What is 48 + 71? Answer:,119
What is 35 + 40? Answer:,75
What is 66 + 36? Answer:,102
What is 74 + 32? Answer:,106
What is 58 + 13? Answer:,71
What is 80 + 46? Answer:,126
What is 14 + 50? Answer:,64
What is 93 + 74? Answer:,167
What is 47 + 99? Answer:,146
What is 26 + 71? Answer:,97
What is 41 + 64? Answer:,105
What is 38 + 27? Answer:,65
What is 99 + 62? Answer:,161
What is 15 + 35? Answer:,50
What is 55 + 21? Answer:,76
What is 11 + 40? Answer:,51
What is 70 + 86? Answer:,156
What is 68 + 87? Answer:,155
What is 18 + 99? Answer:,117
What is 61 + 78? Answer:,139
What is 29 + 64? Answer:,93
What is 12 + 39? Answer:,51
What is 47 + 91? Answer:,138
What is 78 + 23? Answer:,101
What is 81 + 51? Answer:,132
What is 62 + 44? Answer:,106
What is 74 + 79? Answer:,153
What is 80 + 72? Answer:,152
What is 56 + 37? Answer:,93
What is 55 + 34? Answer:,89
What is 22 + 87? Answer:,109
What is 49 + 56? Answer:,105
What is 15 + 36? Answer:,51
What is 56 + 28? Answer:,84
What is 47 + 18? Answer:,65
What is 78 + 45? Answer:,123
What is 59 + 15? Answer:,74
What is 40 + 59? Answer:,99
What is 11 + 24? Answer:,35
What is 40 + 25? Answer:,65
What is 37 + 42? Answer:,79
What is 93 + 71? Answer:,164
What is 89 + 33? Answer:,122
What is 24 + 84? Answer:,108
What is 70 + 79? Answer:,149
What is 10 + 88? Answer:,98
What is 68 + 40? Answer:,108
What is 41 + 48? Answer:,89
What is 84 + 36? Answer:,120
What is 28 + 71? Answer:,99
What is 51 + 86? Answer:,137
What is 64 + 33? Answer:,97
What is 68 + 22? Answer:,90
What is 66 + 50? Answer:,116
What is 28 + 29? Answer:,57
What is 40 + 61? Answer:,101
What is 59 + 50? Answer:,109
What is 42 + 36? Answer:,78
What is 40 + 15? Answer:,55
What is 58 + 62? Answer:,120
What is 94 + 84? Answer:,178
What is 69 + 63? Answer:,132
What is 62 + 89? Answer:,151
What is 98 + 72? Answer:,170
What is 68 + 61? Answer:,129
What is 14 + 92? Answer:,106
What is 15 + 67? Answer:,82
What is 15 + 92? Answer:,107
What is 54 + 26? Answer:,80
What is 52 + 79? Answer:,131
What is 12 + 70? Answer:,82
What is 60 + 72? Answer:,132
What is 24 + 97? Answer:,121
What is 88 + 55? Answer:,143
What is 33 + 70? Answer:,103
What is 30 + 45? Answer:,75
What is 83 + 70? Answer:,153
What is 25 + 97? Answer:,122
What is 53 + 57? Answer:,110
What is 53 + 97? Answer:,150
What is 97 + 96? Answer:,193
What is 36 + 77? Answer:,113
What is 95 + 80? Answer:,175
What is 36 + 75? Answer:,111
What is 33 + 80? Answer:,113
What is 34 + 55? Answer:,89
What is 12 + 14? Answer:,26
What is 94 + 89? Answer:,183
What is 63 + 21? Answer:,84
What is 70 + 35? Answer:,105
What is 27 + 18? Answer:,45
What is 26 + 78? Answer:,104
What is 94 + 11? Answer:,105
What is 50 + 87? Answer:,137
What is 54 + 17? Answer:,71
What is 60 + 90? Answer:,150
What is 54 + 96? Answer:,150
What is 87 + 69? Answer:,156
What is 54 + 88? Answer:,142
What is 61 + 20? Answer:,81
What is 77 + 53? Answer:,130
What is 89 + 42? Answer:,131
What is 88 + 91? Answer:,179
What is 10 + 43? Answer:,53
What is 68 + 18? Answer:,86
What is 95 + 48? Answer:,143
What is 52 + 95? Answer:,147
What is 10 + 96? Answer:,106
What is 50 + 36? Answer:,86
What is 17 + 19? Answer:,36
What is 53 + 64? Answer:,117
What is 73 + 47? Answer:,120
What is 76 + 51? Answer:,127
What is 92 + 83? Answer:,175
What is 44 + 60? Answer:,104
What is 84 + 30? Answer:,114
What is 35 + 42? Answer:,77
What is 19 + 70? Answer:,89
What is 19 + 23? Answer:,42
What is 58 + 15? Answer:,73
What is 79 + 12? Answer:,91
What is 37 + 16? Answer:,53
What is 20 + 89? Answer:,109
What is 79 + 55? Answer:,134
What is 13 + 46? Answer:,59
What is 18 + 24? Answer:,42
What is 95 + 34? Answer:,129
What is 89 + 76? Answer:,165
What is 66 + 85? Answer:,151
What is 79 + 99? Answer:,178
What is 71 + 84? Answer:,155
What is 99 + 29? Answer:,128
What is 60 + 82? Answer:,142
What is 38 + 59? Answer:,97
What is 15 + 29? Answer:,44
What is 47 + 33? Answer:,80
What is 15 + 13? Answer:,28
What is 94 + 18? Answer:,112
What is 30 + 25? Answer:,55
What is 88 + 87? Answer:,175
What is 48 + 57? Answer:,105
What is 37 + 91? Answer:,128
What is 32 + 85? Answer:,117
What is 68 + 80? Answer:,148
What is 92 + 11? Answer:,103
What is 13 + 77? Answer:,90
What is 84 + 97? Answer:,181
What is 29 + 98? Answer:,127
What is 17 + 45? Answer:,62
What is 39 + 38? Answer:,77
What is 16 + 21? Answer:,37
What is 54 + 50? Answer:,104
What is 40 + 32? Answer:,72
What is 17 + 59? Answer:,76
What is 95 + 44? Answer:,139
What is 60 + 55? Answer:,115
What is 41 + 29? Answer:,70
What is 98 + 88? Answer:,186
What is 71 + 61? Answer:,132
What is 72 + 86? Answer:,158
What is 35 + 92? Answer:,127
What is 42 + 20? Answer:,62
What is 70 + 94? Answer:,164
What is 10 + 46? Answer:,56
What is 60 + 63? Answer:,123
What is 83 + 67? Answer:,150
What is 65 + 19? Answer:,84
What is 98 + 84? Answer:,182
What is 31 + 30? Answer:,61
What is 19 + 68? Answer:,87
What is 99 + 12? Answer:,111
What is 73 + 85? Answer:,158
What is 89 + 75? Answer:,164
What is 18 + 57? Answer:,75
What is 29 + 22? Answer:,51
What is 98 + 35? Answer:,133
What is 79 + 46? Answer:,125
What is 36 + 69? Answer:,105
What is 23 + 99? Answer:,122
What is 75 + 49? Answer:,124
What is 91 + 42? Answer:,133
What is 34 + 63? Answer:,97
What is 77 + 76? Answer:,153
What is 91 + 31? Answer:,122
What is 66 + 79? Answer:,145
What is 99 + 60? Answer:,159
What is 88 + 97? Answer:,185
What is 32 + 50? Answer:,82
What is 61 + 89? Answer:,150
What is 67 + 10? Answer:,77
What is 54 + 66? Answer:,120
What is 51 + 22? Answer:,73
What is 17 + 61? Answer:,78
What is 84 + 68? Answer:,152
What is 90 + 49? Answer:,139
What is 62 + 75? Answer:,137
What is 16 + 19? Answer:,35
What is 61 + 77? Answer:,138
What is 75 + 17? Answer:,92
What is 71 + 22? Answer:,93
What is 97 + 57? Answer:,154
What is 11 + 29? Answer:,40
What is 66 + 72? Answer:,138
What is 56 + 67? Answer:,123
What is 73 + 52? Answer:,125
What is 64 + 86? Answer:,150
What is 40 + 70? Answer:,110
What is 44 + 93? Answer:,137
What is 74 + 93? Answer:,167
What is 87 + 97? Answer:,184
What is 74 + 33? Answer:,107
What is 15 + 20? Answer:,35
What is 90 + 53? Answer:,143
What is 60 + 28? Answer:,88
What is 34 + 57? Answer:,91
What is 61 + 18? Answer:,79
What is 42 + 32? Answer:,74
What is 28 + 96? Answer:,124
What is 94 + 24? Answer:,118
What is 49 + 44? Answer:,93
What is 91 + 42? Answer:,133
What is 99 + 22? Answer:,121
What is 24 + 30? Answer:,54
What is 22 + 16? Answer:,38
What is 38 + 61? Answer:,99
What is 67 + 92? Answer:,159
What is 56 + 51? Answer:,107
What is 25 + 41? Answer:,66
What is 74 + 28? Answer:,102
What is 35 + 98? Answer:,133
What is 66 + 93? Answer:,159
What is 12 + 39? Answer:,51
What is 14 + 53? Answer:,67
What is 13 + 54? Answer:,67
What is 74 + 54? Answer:,128
What is 92 + 11? Answer:,103
What is 10 + 24? Answer:,34
What is 37 + 17? Answer:,54
What is 32 + 85? Answer:,117
What is 58 + 75? Answer:,133
What is 51 + 47? Answer:,98
What is 56 + 68? Answer:,124
What is 96 + 36? Answer:,132
What is 75 + 24? Answer:,99
What is 19 + 23? Answer:,42
What is 95 + 25? Answer:,120
What is 11 + 94? Answer:,105
What is 53 + 60? Answer:,113
What is 17 + 45? Answer:,62
What is 94 + 46? Answer:,140
What is 95 + 59? Answer:,154
What is 56 + 34? Answer:,90
What is 95 + 73? Answer:,168
What is 87 + 22? Answer:,109
What is 12 + 32? Answer:,44
What is 91 + 77? Answer:,168
What is 65 + 78? Answer:,143
What is 48 + 57? Answer:,105
What is 29 + 75? Answer:,104
What is 85 + 35? Answer:,120
What is 56 + 34? Answer:,90
What is 60 + 18? Answer:,78
What is 95 + 12? Answer:,107
What is 36 + 74? Answer:,110
What is 73 + 41? Answer:,114
What is 32 + 48? Answer:,80
What is 39 + 21? Answer:,60
What is 59 + 62? Answer:,121
What is 47 + 18? Answer:,65
What is 19 + 69? Answer:,88
What is 87 + 33? Answer:,120
What is 44 + 56? Answer:,100
What is 74 + 70? Answer:,144
What is 21 + 17? Answer:,38
What is 42 + 25? Answer:,67
What is 90 + 75? Answer:,165
What is 97 + 45? Answer:,142
What is 48 + 38? Answer:,86
What is 98 + 35? Answer:,133
What is 95 + 85? Answer:,180
What is 90 + 99? Answer:,189
What is 81 + 42? Answer:,123
What is 13 + 34? Answer:,47
What is 52 + 65? Answer:,117
What is 15 + 53? Answer:,68
What is 67 + 39? Answer:,106
What is 34 + 68? Answer:,102
What is 99 + 81? Answer:,180
